,V1855,V2561,V2886,V3353,CLASS
All,-0.160758275,0.085232831,0.238699923,-0.062858832,ALL
All.1,-0.545188317,-0.126940328,0.132574583,0.412398634,ALL
ALL,1.228329713,0.13019006,0.013726433,-0.960767088,ALL
ALL.1,-0.057979048,0.47981567,0.349532114,-1.06704779,ALL
ALL.2,-0.971201167,-0.98682902,-0.691839216,-0.547125239,ALL
All.2,0.601087298,0.567386901,-0.207678802,-0.456373447,ALL
All.3,0.438533791,0.899721244,0.375114355,-0.118146708,ALL
ALL.3,-0.410682073,0.98982129,0.267810831,0.681129362,ALL
ALL.4,0.004237863,0.143453124,-2.073697133,-0.287538929,ALL
ALL.5,0.701436449,-0.055463384,-0.11938732,1.100058345,ALL
All.4,0.664890015,0.010526983,0.327708001,0.800152258,ALL
All.5,0.369754246,0.473827893,0.529012353,1.433020816,ALL
ALL.6,-2.853795002,-2.143891239,0.188361435,0.01332439,ALL
ALL.7,-0.579663432,-0.077012705,0.317585031,-0.512390624,ALL
ALL.8,-0.329178648,-0.910929131,-1.783530647,-0.874345088,ALL
All.6,0.799096405,-0.708931067,0.407963714,-1.189755405,ALL
All.7,1.421304669,0.247207347,-0.240788507,-0.660219685,ALL
ALL.9,-0.126195364,-2.474448049,-4.242246095,-1.220758896,ALL
ALL.10,-1.387677796,0.161330064,0.654965689,0.948911807,ALL
ALL.11,-0.649289341,-1.234540201,-0.870631428,-0.745175406,ALL
All.8,-0.575173763,-1.392086591,0.615181583,1.239139793,ALL
All.9,-0.855069392,0.617403457,0.700184244,1.540307452,ALL
ALL.12,1.458798791,0.940381152,0.39569692,0.770109589,ALL
ALL.13,-0.141962048,-0.964594382,-0.037929006,-0.327641919,ALL
ALL.14,-0.123672089,0.441396631,0.485022315,1.112754764,ALL
All.10,0.103203043,-0.678527001,0.452911156,0.931445653,ALL
All.11,1.668619011,1.876573065,0.540503287,0.106310814,ALL
ALL.15,0.635517586,-0.501198382,0.031197415,1.016673381,ALL
ALL.16,-1.005950994,0.584496364,0.606152537,0.119656878,ALL
ALL.17,0.138458367,-0.496943415,0.107472401,-0.41692456,ALL
All.12,-0.365504023,0.085510624,0.357523453,0.859399155,ALL
All.13,-0.433091904,0.160100541,0.626081595,-0.114509716,ALL
ALL.18,1.770081394,-0.042067956,0.599715636,-1.548630164,ALL
ALL.19,0.184262664,-0.169835,0.591893216,0.795531771,ALL
ALL.20,-0.116043972,0.111342544,0.800393669,0.750170795,ALL
All.14,-0.520405343,-0.636605022,0.727054938,-1.038553718,ALL
All.15,-1.02345462,-0.270154799,-0.106453697,-0.106342145,ALL
ALL.21,1.471346792,1.279403961,-0.003399544,-0.353509635,ALL
ALL.22,-0.663189909,0.131395551,0.819170711,-1.248022308,ALL
ALL.23,-0.365094336,1.09704199,0.709427993,-1.598961105,ALL
All.16,0.402879652,0.839023661,0.641721929,-0.979244506,ALL
All.17,-1.065475045,-0.931803389,0.492114673,1.126848133,ALL
ALL.24,-0.024757511,-0.954744465,-0.001083142,-0.093876267,ALL
ALL.25,-1.677490902,-1.643735418,-0.060324503,-0.311282355,ALL
ALL.26,-0.463715762,0.31538791,0.845267875,1.581892386,ALL
ALL.27,-0.469982487,-0.885703974,0.274401296,1.36962923,ALL
ALL.28,-0.480574972,-4.996054071,0.398963801,0.654097627,ALL
AML,0.087744449,0.505733336,0.199667664,0.545720674,AML
AML.1,0.510333513,-0.16157382,0.690865441,0.706209145,AML
AML.2,0.175298004,0.300881911,-0.050102612,0.049397028,AML
AML.3,0.04042772,0.299260383,0.206809131,0.139817959,AML
AML.4,0.41210963,0.492799072,0.12518366,0.39771198,AML
AML.5,0.675121567,0.799722834,-0.100105631,-0.028556393,AML
AML.6,0.065902682,0.904037227,0.314560962,0.724311157,AML
AML.7,0.296963907,0.391485639,0.711220135,-0.072947522,AML
AML.8,-4.585507989,1.021110837,-0.128751605,-0.094610229,AML
AML.9,-0.335312704,0.575126091,0.039895648,0.26186851,AML
AML.10,0.050426508,0.871050882,0.290804588,0.726820728,AML
AML.11,1.176709228,0.42621692,0.116513488,0.380113574,AML
AML.12,1.864807579,0.314647972,0.486348526,0.72114215,AML
AML.13,-0.696270403,0.400935314,-1.983569315,-1.956374047,AML
AML.14,0.516593394,0.314560839,0.030443656,0.209452172,AML
AML.15,0.229603418,0.319074297,-0.31781575,-2.360780342,AML
AML.16,0.138083029,1.148793047,-0.605589907,-2.246730693,AML
AML.17,1.200577729,-0.10463389,0.483623975,-0.240054748,AML
AML.18,0.14969536,-0.662201326,0.784929616,-3.522132017,AML
AML.19,1.728188557,0.787130362,0.390334807,0.924599271,AML
AML.20,0.557345804,0.811256455,-0.127420773,-0.221963051,AML
AML.21,0.282480732,0.422476234,-4.488119981,0.053431182,AML
AML.22,0.287086735,0.854158397,-2.714310778,0.122404822,AML
AML.23,0.055155713,0.500013756,-0.371303054,1.139464757,AML
AML.24,-0.503184376,-0.916994638,0.833770043,1.118722436,AML
